code,region_code,name
RU-MOW-MOW,RU-MOW,Москва
RU-SPE-SPE,RU-SPE,Санкт-Петербург
RU-MOS-KHI,RU-MOS,Химки
RU-MOS-POD,RU-MOS,Подольск
